actor_episodes,actor_steps,env_reset_duration_sec,env_step_duration_sec,episode_duration,episode_length,episode_return,evaluator_episodes,evaluator_steps,select_action_duration_sec,steps_per_second
101,154763,0.07338786125183105,0.03688916566976932,56.70869159698486,997,176.0,53,82677,0.01982748783459754,17.58124228935218
101,154763,0.025838136672973633,0.038214723489657626,52.24005365371704,901,264.0,54,83578,0.019647784291308677,17.247466627037
103,157167,0.030074119567871094,0.03751777799457627,120.46382212638855,2078,528.0,55,85656,0.020336590671447517,17.250117119318435
106,161154,0.1156001091003418,0.04378690406383887,75.29393124580383,1157,440.0,56,86813,0.021079491002866702,15.366553383632876
106,161154,0.10170459747314453,0.041072945604954704,87.21257042884827,1407,660.0,57,88220,0.02075986431775232,16.133140089847544
110,166850,0.13929295539855957,0.03766858356619361,108.06477737426758,1887,660.0,58,90107,0.019444430765173205,17.46189164479574
111,167730,0.11065840721130371,0.03929889911008112,97.69013237953186,1648,396.0,59,91755,0.019834435969880482,16.869808441344677
113,170648,0.014071464538574219,0.0391328336935188,66.90900421142578,1121,308.0,60,92876,0.0204646810689853,16.754233496031713
114,171661,0.12935161590576172,0.037169267006640166,74.93167805671692,1325,528.0,61,94201,0.019202202311101948,17.68291887661147
117,175762,0.03883004188537598,0.03824396805685074,91.10258984565735,1525,528.0,62,95726,0.021386686700289367,16.739492143945593
119,178593,0.032129526138305664,0.041786598290509055,61.694154024124146,988,132.0,63,96714,0.020537770470144295,16.01461835246157
121,180815,0.08499836921691895,0.04131442372589544,110.0988552570343,1765,484.0,64,98479,0.020929936444117732,16.031152884535093
121,180815,0.02779841423034668,0.03781004711032103,109.74674463272095,1891,616.0,65,100370,0.020103231048785714,17.230723391164343
126,187981,0.03372335433959961,0.039967369711238064,121.15555953979492,1999,572.0,66,102369,0.02053892069783671,16.49956047194058
126,187981,0.11791491508483887,0.03673217383826651,91.84339189529419,1640,440.0,67,104009,0.019105239176168673,17.856617334094782
128,191357,0.10993599891662598,0.04185600562886516,63.518932580947876,1031,264.0,68,105040,0.019567760648829167,16.23153515154001
